collision_events_mean,collision_free_success_mean,command_acc_rms_mps2_mean,command_active_fraction_mean,command_jerk_p95_mps3_mean,experiment,maze_type,min_clearance_m_mean,n,path_efficiency_mean,role,scenario,timeout_penalized_s_mean,turn_response_penalized_s_mean
0.2,0.8,3.5393090816128634,1.0,16.9368490881539,geometry,5,0.48453105315566064,20,0.6943308067294797,baseline,all,7.1734149999999985,3.8988459210498596
0.0,1.0,3.3753384079249145,1.0,17.884954287418104,geometry,7,0.8152225211262702,20,0.6330369159246094,baseline,all,9.124759999999998,3.85862987994958
0.0625,0.9375,3.5250382638746047,1.0,18.156937595590925,geometry,all,0.5922236278653145,80,0.6790475093197674,baseline,all,7.9491925,3.6877863940495574
0.0,0.7,5.105111754211033,1.0,37.616212201152756,geometry,1,0.45523716509342194,10,0.7341048200976623,variant,straight,10.375670000000001,0.43357399999999996
0.0,0.6,4.952777243263542,1.0,35.96038961284119,geometry,2,0.48524449318647384,10,0.7070587463256117,variant,straight,11.07637,1.681226
0.0,0.4,4.8271470276208435,1.0,34.247765124148984,geometry,5,0.4522713854908943,10,0.590473471845919,variant,straight,13.794509999999999,1.427719
0.0,0.7,5.224444928051379,1.0,41.546176594566326,geometry,7,0.6715144515037537,10,0.5848741826832339,variant,straight,12.61615,1.0770620000000002
0.0,0.6,5.027370238286699,1.0,37.34263588317732,geometry,all,0.5160668738186359,40,0.6541278052381068,variant,straight,11.965675,1.1548952499999998
0.2,0.3,4.550806290169181,1.0,38.72149284764939,geometry,1,0.3994904115796089,10,0.37811371105230124,variant,dynamic,13.861371020998842,8.729581844298943
0.4,0.7,6.607429405613855,1.0,60.77159795039266,geometry,2,0.38588871955871584,10,0.46896342574051886,variant,dynamic,9.262911998298861,7.060002781098151
0.5,0.1,4.903732392844196,1.0,44.993239359440715,geometry,5,0.40373250991106036,10,0.3428163331832038,variant,dynamic,13.417221477499954,12.454393447899236
0.0,0.0,4.25703296614651,1.0,41.06209906968233,geometry,7,0.34727123454213144,10,0.25718567460363395,variant,dynamic,17.49985479429888,10.976556794298881
0.275,0.275,5.079750263693436,1.0,46.38710730679127,geometry,all,0.38409571889787913,40,0.3617697861449144,variant,dynamic,13.510339822774133,9.805133716898803
0.1,0.5,4.8279590221901065,1.0,38.16885252440107,geometry,1,0.42736378833651545,20,0.5561092655749819,variant,all,12.118520510499422,4.581577922149472
0.2,0.65,5.780103324438699,1.0,48.36599378161692,geometry,2,0.4355666063725948,20,0.5880110860330652,variant,all,10.16964099914943,4.3706143905490755
0.25,0.25,4.865439710232518,1.0,39.62050224179485,geometry,5,0.4280019477009773,20,0.4666449025145615,variant,all,13.605865738749975,6.941056223949618
0.0,0.35,4.740738947098945,1.0,41.30413783212433,geometry,7,0.5093928430229425,20,0.42102992864343386,variant,all,15.05800239714944,6.0268093971494405
0.1375,0.4375,5.053560250990067,1.0,41.8648715949843,geometry,all,0.45008129635825755,80,0.5079487956915105,variant,all,12.738007411387066,5.480014483449401
0.0,0.7,5.181540431916014,1.0,38.02203821772248,duration,1,0.488073992729187,10,0.7536297351491393,baseline,straight,9.639520000000001,0.42513100000000004
0.0,0.7,4.9530004732353445,1.0,36.20317791894936,duration,2,0.4627233773469925,10,0.7128903253125889,baseline,straight,10.88821,1.6968640000000001
0.0,0.4,4.843554055934333,1.0,34.07390197707241,duration,5,0.45475607439875604,10,0.5900697682452083,baseline,straight,13.78952,1.404271
0.0,0.6,5.159279766773614,1.0,41.472218654405054,duration,7,0.6484726577997207,10,0.5853158845677743,baseline,straight,12.658760000000001,1.081305
0.0,0.6,5.034343681964827,1.0,37.442834192037324,duration,all,0.513506525568664,40,0.6604764283186778,baseline,straight,11.744002499999999,1.15189275
0.2,0.4,4.529242639763689,1.0,38.93983982863152,duration,1,0.3941742040216923,10,0.3678773519239553,baseline,dynamic,13.788987830799204,9.803586305299
0.2,0.7,6.881888226354955,1.0,66.49830447457067,duration,2,0.40391695946455003,10,0.47182169622587944,baseline,dynamic,8.432465337300313,7.094882981400713
0.5,0.1,4.968682313202319,1.0,46.69868990480642,duration,5,0.32883284240961075,10,0.3437382812003199,baseline,dynamic,13.722357798999406,11.697699565499372
0.8,0.0,4.2377112139587165,1.0,40.17594374131746,duration,7,0.4192699193954468,10,0.26329450716276304,baseline,dynamic,17.49984131579986,9.928515315799858
0.425,0.3,5.154381098319919,1.0,48.078194487331515,duration,all,0.38654848132282493,40,0.36168295912822945,baseline,dynamic,13.360913070724695,9.631171041999735
0.1,0.55,4.855391535839852,1.0,38.480939023176994,duration,1,0.44112409837543964,20,0.5607535435365474,baseline,all,11.7142539153996,5.114358652649499
0.1,0.7,5.91744434979515,1.0,51.35074119676002,duration,2,0.43332016840577126,20,0.5923560107692343,baseline,all,9.660337668650156,4.395873490700356
0.25,0.25,4.906118184568325,1.0,40.38629594093941,duration,5,0.39179445840418337,20,0.46690402472276415,baseline,all,13.755938899499705,6.550985282749684
0.4,0.3,4.698495490366165,1.0,40.82408119786126,duration,7,0.5338712885975838,20,0.42430519586526866,baseline,all,15.07930065789993,5.50491015789993
