arrival_s,arrived,clearance_p05_m,collision_events,collision_free_success,collision_samples,command_acc_peak_mps2,command_acc_rms_mps2,command_active_fraction,command_jerk_p95_mps3,command_jerk_rms_mps3,condition,duration_s,experiment,final_error_m,lane_order,map_seed,max_speed_mps,maze_type,mean_speed_mps,min_clearance_m,model,path_efficiency,path_length_m,role,scenario,source,timeout_penalized_s,turn_response_penalized_s,turn_response_s,valid_start
7.62,True,1.3000000715255737,0,True,0,9.702427897808565,3.191357540123765,1.0,21.53968835726986,10.426917072972365,maze2_seed1_straight.json,7.609850000000001,geometry,1.0001602507325211,normal,1,6.237914287535765,2,3.0370850351482668,1.0770330429077148,single_fixed,0.8653600243129879,23.111769409777537,baseline,straight,maze2_seed1_straight.json,7.62,0.94373,0.94373,True
5.1246,True,1.1656854748725891,0,True,0,16.99964594372003,5.873708987535499,1.0,43.80090353412079,24.982189262767168,maze2_seed1_straight.json,5.11998,geometry,0.9891762976812017,normal,1,6.69844361723718,2,3.833497287342816,0.9848858118057251,minco_fixed,1.0,19.627425375922442,variant,straight,maze2_seed1_straight.json,5.1246,0.88362,0.88362,True
7.5535,True,1.3000000715255737,0,True,0,9.841637401989273,3.2113746570915707,1.0,21.735214482738265,10.486912299929271,maze2_seed1_straight.json,7.550000000000001,geometry,0.9981170018742337,swapped,1,6.237381196049577,2,3.051688431954221,1.1704699993133545,single_fixed,0.8680477375519517,23.040209049752036,baseline,straight,maze2_seed1_straight_swapped.json,7.5535,0.92228,0.92228,True
5.1097,True,1.2020797729492188,0,True,0,17.168155635768795,5.903754149560781,1.0,43.48423929106777,25.136049089232277,maze2_seed1_straight.json,5.10954,geometry,0.9969676696860575,swapped,1,6.484001700569088,2,3.848567776405547,1.0770330429077148,minco_fixed,1.0,19.664417931352133,variant,straight,maze2_seed1_straight_swapped.json,5.1097,0.86161,0.86161,True
3.7473,True,1.8000000715255737,0,True,0,9.372984308271672,4.9051254240523665,1.0,24.015983880181082,10.427972799143205,maze2_seed2_dynamic.json,3.73004,geometry,1.001064534241336,normal,2,6.19696449801943,2,5.370141911397918,1.7000000476837158,single_fixed,0.7645187793181776,20.030720512346495,baseline,dynamic,maze2_seed2_dynamic.json,3.7473,3.7473,,True
4.4992,True,0.4298484563827515,0,True,0,10.965025590751335,5.076409231233107,1.0,73.9359757547498,29.674724986713862,maze2_seed2_dynamic.json,4.49001,geometry,0.992229802097777,normal,2,6.750437394765125,2,4.8802946657371695,0.10000000149011612,minco_fixed,0.6794392471215055,21.912533408169185,variant,dynamic,maze2_seed2_dynamic.json,4.4992,3.2680770339996856,3.2680770339996856,True
3.763,True,1.8000000715255737,0,True,0,8.532347767266623,4.832937046841964,1.0,23.424078996666097,10.027717050398845,maze2_seed2_dynamic.json,3.7500000000000004,geometry,1.0015359418681888,swapped,2,6.198331587732776,2,5.421028978604404,1.7000000476837158,single_fixed,0.7599726977767844,20.328872309031674,baseline,dynamic,maze2_seed2_dynamic_swapped.json,3.763,3.763,,True
4.3065,True,0.46246024370193484,0,True,0,11.473238882176993,5.301480373462205,1.0,63.07049018851601,30.375181562636175,maze2_seed2_dynamic.json,4.29999,geometry,0.9875955628884313,swapped,2,7.031804168392333,2,5.077467658795262,0.30000001192092896,minco_fixed,0.6861001607596583,21.833028944195092,variant,dynamic,maze2_seed2_dynamic_swapped.json,4.3065,4.3065,,True
6.543,True,0.9819288402795792,0,True,0,9.67926771635888,3.355281929532743,1.0,23.634759312654182,11.345749945472127,maze2_seed2_straight.json,6.52999,geometry,1.0016193956339403,normal,2,6.0554912626011195,2,3.2672672844770276,0.7000000476837158,single_fixed,0.9374169848542024,21.335224128382016,baseline,straight,maze2_seed2_straight.json,6.543,0.93697,0.93697,True
,False,0.6000000238418579,0,False,0,14.751902819760895,3.7712040717814386,1.0,23.61834814409706,13.238261748980376,maze2_seed2_straight.json,19.98999,geometry,1.8439899715705472,normal,2,6.39011140211164,2,2.9409470643265743,0.44721361994743347,minco_fixed,0.34019813965442885,58.78927336122693,variant,straight,maze2_seed2_straight.json,20.0,0.89697,0.89697,True
6.5568,True,0.9345407724380493,0,True,0,9.779392081602108,3.349036100430246,1.0,24.02927580449355,11.339692777168903,maze2_seed2_straight.json,6.54003,geometry,1.0115396101387506,swapped,2,6.055544192279901,2,3.260956751875849,0.7280110120773315,single_fixed,0.9377907102534325,21.32672169017166,baseline,straight,maze2_seed2_straight_swapped.json,6.5568,0.92388,0.92388,True
,False,0.6000000238418579,0,False,0,14.78561768514644,3.788878962713228,1.0,23.814787135705313,13.462080580518602,maze2_seed2_straight.json,19.990009999999998,geometry,1.7272290419763257,swapped,2,6.3799782648533,2,2.9293866009946936,0.41231057047843933,minco_fixed,0.34154040097471194,58.55823034855933,variant,straight,maze2_seed2_straight_swapped.json,20.0,0.87283,0.87283,True
10.8303,True,0.5898571252822876,0,True,0,5.279283265034339,2.9145048446114528,1.0,11.140527769036707,6.3262515945091184,maze2_seed3_dynamic.json,10.81998,geometry,1.0093722378776677,normal,3,6.711483551255552,2,3.3364335944569787,0.4242640733718872,single_fixed,0.3458693885366828,36.100057229341104,baseline,dynamic,maze2_seed3_dynamic.json,10.8303,9.832743303994567,9.832743303994567,True
10.5529,True,1.1088146567344666,0,True,0,25.253971317284254,10.31405162951875,1.0,63.04647182482199,32.98403770732062,maze2_seed3_dynamic.json,10.54027,geometry,1.0048919199422255,normal,3,10.283884912883737,2,7.194398453955175,0.41231057047843933,minco_fixed,0.15230027875742827,75.82995318096937,variant,dynamic,maze2_seed3_dynamic.json,10.5529,8.295733303994567,8.295733303994567,True
10.9227,True,0.5385165214538574,0,True,0,5.57162441191014,2.873822986664306,1.0,11.43547201233375,6.569604112446049,maze2_seed3_dynamic.json,10.91998,geometry,0.9903433702276263,swapped,3,6.646418811531153,2,3.2901798616280487,0.5,single_fixed,0.34681776918644625,35.92872722043846,baseline,dynamic,maze2_seed3_dynamic_swapped.json,10.9227,9.927061396994674,9.927061396994674,True
,False,0.8339697062969208,2,False,5,23.006231898069633,8.052256220915865,1.0,68.22114617125155,30.57006321370176,maze2_seed3_dynamic.json,17.490019999999998,geometry,3.7948468178514005,swapped,3,10.348200261288593,2,5.597714502804834,0.10000000149011612,minco_fixed,0.11663176555156773,97.903795037574,variant,dynamic,maze2_seed3_dynamic_swapped.json,17.499861396994675,6.147871396994674,6.147871396994674,True
5.235,True,0.5600000143051147,0,True,0,7.546571702446024,3.8784382864291125,1.0,19.523595999422945,10.631133921159453,maze2_seed3_straight.json,5.22998,geometry,0.9993611562954134,normal,3,6.003451694499161,2,4.01754709415816,0.30000001192092896,single_fixed,0.9518502907343958,21.01170929208828,baseline,straight,maze2_seed3_straight.json,5.235,3.25555,3.25555,True
5.1772,True,0.6550000369548797,0,True,0,11.17900810235061,5.331493293720123,1.0,38.99982087312945,18.818976273726395,maze2_seed3_straight.json,5.16999,geometry,0.996199856227483,normal,3,7.314199772170921,2,4.162590659040869,0.4242640733718872,minco_fixed,0.9293425366542913,21.52059210406928,variant,straight,maze2_seed3_straight.json,5.1772,3.05586,3.05586,True
5.2128,True,0.5550000131130218,0,True,0,7.484355160437037,3.871568019420912,1.0,20.27733895781533,10.639828944091722,maze2_seed3_straight.json,5.19998,geometry,1.0199698710515945,swapped,3,6.003345466618568,2,4.031054012499245,0.30000001192092896,single_fixed,0.9541335213032036,20.961428186732192,baseline,straight,maze2_seed3_straight_swapped.json,5.2128,3.27396,3.27396,True
5.1578,True,0.6550000369548797,0,True,0,11.111106413577247,5.344490615695606,1.0,36.74322740665221,18.52539608034824,maze2_seed3_straight.json,5.15,geometry,0.999421876421849,swapped,3,7.406196596039047,2,4.164610140088453,0.44721361994743347,minco_fixed,0.9324983222538759,21.447761348541526,variant,straight,maze2_seed3_straight_swapped.json,5.1578,3.01734,3.01734,True
6.9811,True,0.6026049554347992,1,False,2,12.100172986838512,4.7036911107131,1.0,22.172899050227546,12.374961662804372,maze2_seed4_dynamic.json,6.969990000000001,geometry,1.0005821721125796,normal,4,6.471343432974325,2,4.333653403477696,0.10000000149011612,single_fixed,0.5734606578762736,30.20540733399161,baseline,dynamic,maze2_seed4_dynamic.json,6.9811,1.6451902399976133,1.6451902399976133,True
4.9563,True,0.5487243384122849,0,True,0,24.387845288291842,8.005425919969348,1.0,61.43836995772727,28.611692221361654,maze2_seed4_dynamic.json,4.94001,geometry,1.00117908996618,normal,4,6.883635621174971,2,4.532592147682746,0.36055514216423035,minco_fixed,0.7568251553756914,22.390946392002462,variant,dynamic,maze2_seed4_dynamic.json,4.9563,1.3252402399976133,1.3252402399976133,True
7.2102,True,0.6045519798994065,0,True,0,13.17909433840255,4.7033560381757376,1.0,21.050918705942998,12.492789709057737,maze2_seed4_dynamic.json,7.19997,geometry,1.0027872181826012,swapped,4,6.483116647346255,2,4.291331671608484,0.10000000149011612,single_fixed,0.5588490058659331,30.89730493271141,baseline,dynamic,maze2_seed4_dynamic_swapped.json,7.2102,1.712787250001039,1.712787250001039,True
4.8876,True,0.5433105230331421,0,True,0,24.30024944264829,8.10188744248759,1.0,68.79221195329517,27.408370637845294,maze2_seed4_dynamic.json,4.87001,geometry,1.0164085326390513,swapped,4,6.926733353809154,2,4.583661785604684,0.4000000059604645,minco_fixed,0.7601793315617721,22.322367594433224,variant,dynamic,maze2_seed4_dynamic_swapped.json,4.8876,1.3298472500010394,1.3298472500010394,True
8.4549,True,1.278233790397644,0,True,0,9.828391707453012,3.6698681943689424,1.0,21.525934743174727,10.632018718449574,maze2_seed4_straight.json,8.44003,geometry,1.0104863235116563,normal,4,6.540817525921223,2,3.554703080988326,1.0198040008544922,single_fixed,0.6666302789269762,30.001639681470134,baseline,straight,maze2_seed4_straight.json,8.4549,0.91588,0.91588,True
,False,0.6000000238418579,0,False,0,17.357307209679224,3.953623161606125,1.0,31.609368024535815,15.58372936248214,maze2_seed4_straight.json,19.98999,geometry,3.398688732028062,normal,4,6.932020872611809,2,3.006373281082803,0.44721361994743347,minco_fixed,0.3327949307937543,60.097073538418286,variant,straight,maze2_seed4_straight.json,20.0,0.87589,0.87589,True
