collision_episode_rate,collision_free_success_rate,command_acc_rms_mean_mps2,command_active_fraction_mean,command_jerk_p95_mean_mps3,experiment,maze_type,min_clearance_mean_m,n,path_efficiency_mean,role,scenario,timeout_penalized_time_mean_s,turn_response_penalized_mean_s
0.0,0.5,3.091393975421385,0.9323139149157191,15.448648442651484,inner_topk3,7,0.7914337098598481,20,0.51420792250367,baseline,all,13.20328230154989,4.097763913699853
0.0,0.5,3.3006004259704715,0.9809890932411024,16.63739179330819,inner_topk3,all,0.7020149578340351,80,0.5239053231805694,baseline,all,12.747611845437463,3.273663110462502
0.0,0.7,3.270225946767988,0.9950798405070322,16.661826662301173,inner_topk3,1,0.44078099727630615,10,0.5956258383664058,variant,straight,13.63974,0.9551440000000001
0.0,0.4,2.917229134432477,0.9886892835752727,13.552309402025973,inner_topk3,2,0.5972710266709328,10,0.528973195889576,variant,straight,14.921629999999999,9.070854
0.0,0.0,2.9924580642901475,0.9974893448869568,15.671223404258239,inner_topk3,5,0.4550413146615028,10,0.32318646449055743,variant,straight,20.0,8.432759
0.0,0.7,2.958908080738009,0.9513427112019865,15.067895483426131,inner_topk3,7,0.7444485783576965,10,0.551528751227762,variant,straight,13.85464,1.306116
0.0,0.45,3.0347053065571554,0.983150295042812,15.238313738002878,inner_topk3,all,0.5593854792416095,40,0.4998285624935754,variant,straight,15.604002500000002,4.94121825
0.1,0.1,3.49433553643109,0.930088612836439,17.76034610428873,inner_topk3,1,0.44316563606262205,10,0.30511393932053626,variant,dynamic,16.715931403400315,7.890122647000302
0.0,0.9,3.100722599620736,0.9954705399863295,15.594273077106596,inner_topk3,2,1.0553240954875946,10,0.6644308009774613,variant,dynamic,7.552366856099967,2.627856742199987
0.0,0.1,3.4830620522985862,1.0,18.206123895784184,inner_topk3,5,0.508278702199459,10,0.22968723609185,variant,dynamic,16.78410822999995,13.295331566799902
0.0,0.4,3.1384386627327574,0.9531496961823744,14.60821553179942,inner_topk3,7,0.7665314197540283,10,0.37986325182578806,variant,dynamic,13.461112957999912,4.613950827399709
0.025,0.375,3.3041397127707923,0.9696772122512858,16.542239652244735,inner_topk3,all,0.693324963375926,40,0.39477380705390896,variant,dynamic,13.628379861875038,7.106815445849975
0.05,0.4,3.3822807415995397,0.9625842266717356,17.21108638329495,inner_topk3,1,0.4419733166694641,20,0.4503698888434712,variant,all,15.177835701700158,4.4226333235001505
0.0,0.65,3.0089758670266056,0.9920799117808009,14.573291239566284,inner_topk3,2,0.8262975610792637,20,0.5967019984335187,variant,all,11.236998428049983,5.849355371099994
0.0,0.05,3.2377600582943664,0.9987446724434786,16.938673650021208,inner_topk3,5,0.48166000843048096,20,0.2764368502912037,variant,all,18.392054114999976,10.86404528339995
0.0,0.55,3.0486733717353838,0.9522462036921805,14.838055507612774,inner_topk3,7,0.7554899990558624,20,0.46569600152677504,variant,all,13.657876478999958,2.9600334136998545
0.0125,0.4125,3.169422509663974,0.976413753647049,15.890276695123806,inner_topk3,all,0.6263552213087678,80,0.44730118477374214,variant,all,14.616191180937516,6.024016847924988
0.0,0.6,3.3143830954923343,0.9949482918404762,17.636455270469643,jerk_topk3,1,0.5157062828540802,10,0.6492272638022274,baseline,straight,11.71663,0.7239760000000001
0.0,0.6,3.0976354197113602,0.9994813278008298,15.021217484095535,jerk_topk3,2,0.6506018713116646,10,0.695905708944985,baseline,straight,11.29825,3.9306159999999997
0.0,0.2,3.3044098054336812,0.9976953907815631,17.86060425533238,jerk_topk3,5,0.42195784002542497,10,0.4619360417895204,baseline,straight,16.889879999999998,0.901554
0.0,0.8,2.961053846152997,0.9675385479046701,15.9325421240783,jerk_topk3,7,0.8898053646087647,10,0.6584228576363214,baseline,straight,10.857569999999999,1.2778180000000001
0.0,0.55,3.1693705416975932,0.9899158895818848,16.612704783493964,jerk_topk3,all,0.6195178396999836,40,0.6163729680432636,baseline,straight,12.690582500000001,1.708491
0.0,0.5,3.7224190342098558,0.9785091684434967,19.028066565617397,jerk_topk3,1,0.5338075816631317,10,0.3705782344191909,baseline,dynamic,13.291100044200117,5.741589803700029
0.0,0.8,3.4142964201700963,1.0,14.22265361231386,jerk_topk3,2,1.2336855292320252,10,0.6496205600361898,baseline,dynamic,7.203399098399925,5.74887605060002
0.1,0.4,3.5623799362851023,0.9986285714285714,18.38326210566298,jerk_topk3,5,0.6219693422317505,10,0.36600636538247217,baseline,dynamic,13.787594764799795,1.6385297490997428
0.0,0.2,3.2100437112897198,0.8482285714285714,15.111967176011934,jerk_topk3,7,0.7512159273028374,10,0.38782396765918037,baseline,dynamic,15.520511471299775,7.900231490199701
0.025,0.475,3.4772847754886937,0.9563415778251599,16.68648736490154,jerk_topk3,all,0.7851695951074362,40,0.44350728187425836,baseline,dynamic,12.450651344674903,5.257306773399874
0.0,0.55,3.518401064851095,0.9867287301419866,18.33226091804352,jerk_topk3,1,0.524756932258606,20,0.5099027491107092,baseline,all,12.50386502210006,3.2327829018500145
0.0,0.7,3.2559659199407287,0.9997406639004149,14.621935548204698,jerk_topk3,2,0.9421437002718449,20,0.6727631344905876,baseline,all,9.250824549199962,4.839746025300011
0.05,0.3,3.4333948708593915,0.9981619811050673,18.12193318049768,jerk_topk3,5,0.5219635911285877,20,0.41397120358599626,baseline,all,15.338737382399898,1.2700418745498712
0.0,0.5,3.0855487787213582,0.9078835596666208,15.522254650045117,jerk_topk3,7,0.820510645955801,20,0.523123412647751,baseline,all,13.189040735649888,4.5890247450998505
0.0125,0.5125,3.3233276585931435,0.9731287337035223,16.649596074197756,jerk_topk3,all,0.7023437174037099,80,0.529940124958761,baseline,all,12.570616922337454,3.4828988866999366
0.0,0.4,3.450928470076191,0.9849816750618354,17.172346325544535,jerk_topk3,1,0.4487140029668808,10,0.5202899875221171,variant,straight,14.713820000000002,0.7436969999999999
